Data;Czas;Ćwiczenie;Seria;Powt.;Uwaga;
01.04.20;18:59:26;Wykroki na jednej nodze;5;13;
02.04.20;18:11:06;Nożyce (leżąc);1;14;
02.04.20;18:12:13;Nożyce (leżąc);2;14;
02.04.20;18:12:59;Nożyce (leżąc);3;14;
02.04.20;18:14:05;Nożyce (leżąc);4;14;
02.04.20;18:15:44;Nożyce (leżąc);5;14;
02.04.20;18:25:37;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);1;32;
02.04.20;18:26:43;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);2;18;
02.04.20;18:27:30;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);3;14;
02.04.20;18:28:15;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);4;14;
02.04.20;18:34:39;Wypychanie ciężaru nogami na suwnicy na ławce dodatniej;1;11;
02.04.20;18:37:08;Wypychanie ciężaru nogami na suwnicy na ławce dodatniej;2;11;
02.04.20;18:38:23;Wypychanie ciężaru nogami na suwnicy na ławce dodatniej;3;11;
02.04.20;18:40:16;Wypychanie ciężaru nogami na suwnicy na ławce dodatniej;4;11;
02.04.20;18:41:39;Wypychanie ciężaru nogami na suwnicy na ławce dodatniej;5;11;
02.04.20;18:43:12;Unoszenie bioder, ugięte nogi (leżąc);1;15;
02.04.20;18:44:25;Unoszenie bioder, ugięte nogi (leżąc);2;15;
02.04.20;18:45:35;Unoszenie bioder, ugięte nogi (leżąc);3;16;
02.04.20;18:47:15;Unoszenie bioder, ugięte nogi (leżąc);4;16;
02.04.20;18:48:26;Unoszenie bioder, ugięte nogi (leżąc);5;16;
02.04.20;18:49:50;Dotykanie pięt (leżąc);1;32;
02.04.20;18:50:42;Dotykanie pięt (leżąc);2;32;
02.04.20;18:51:34;Dotykanie pięt (leżąc);3;20;
02.04.20;18:52:21;Dotykanie pięt (leżąc);4;24;
02.04.20;18:53:41;Dotykanie pięt (leżąc);5;30;
04.04.20;14:56:49;Unoszenie nóg (leżąc);1;15;
04.04.20;14:58:45;Unoszenie nóg (leżąc);2;15;
04.04.20;15:04:54;Unoszenie nóg (leżąc);3;15;
04.04.20;15:14:14;Unoszenie nóg (leżąc);4;15;
04.04.20;15:14:46;Unoszenie nóg (leżąc);5;15;
05.04.20;12:31:09;Scyzoryki (leżąc) V-Ups;1;12;
05.04.20;12:32:23;Scyzoryki (leżąc) V-Ups;2;12;
05.04.20;12:34:15;Scyzoryki (leżąc) V-Ups;3;11;
05.04.20;12:36:45;Scyzoryki (leżąc) V-Ups;4;12;
05.04.20;12:39:20;Scyzoryki (leżąc) V-Ups;5;10;
05.04.20;13:01:49;Dotykanie pięt (leżąc);1;40;
05.04.20;13:04:15;Dotykanie pięt (leżąc);2;32;
05.04.20;13:05:21;Dotykanie pięt (leżąc);3;20;
05.04.20;13:07:01;Dotykanie pięt (leżąc);4;26;
05.04.20;13:08:21;Dotykanie pięt (leżąc);5;30;
05.04.20;13:09:27;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);1;20;
05.04.20;13:10:38;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);2;20;
05.04.20;13:12:58;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);3;20;
05.04.20;13:15:06;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);4;20;
07.04.20;18:13:23;Unoszenie nóg (leżąc);1;16;
07.04.20;18:14:59;Unoszenie nóg (leżąc);2;16;
07.04.20;18:16:19;Unoszenie nóg (leżąc);3;15;
07.04.20;18:17:46;Unoszenie nóg (leżąc);4;15;
07.04.20;18:18:33;Unoszenie nóg (leżąc);5;15;
07.04.20;18:19:08;Unoszenie nóg (leżąc);6;15;
07.04.20;18:30:36;Unoszenie bioder, ugięte nogi (leżąc);1;16;
07.04.20;18:37:44;Unoszenie bioder, ugięte nogi (leżąc);2;16;
07.04.20;18:38:58;Unoszenie bioder, ugięte nogi (leżąc);3;16;
07.04.20;18:39:31;Unoszenie bioder, ugięte nogi (leżąc);4;16;
07.04.20;18:42:12;Unoszenie bioder, ugięte nogi (leżąc);5;18;
07.04.20;18:50:56;Wykroki na jednej nodze;1;15;
07.04.20;18:52:48;Wykroki na jednej nodze;2;15;
07.04.20;18:54:18;Wykroki na jednej nodze;3;14;
07.04.20;18:55:28;Wykroki na jednej nodze;4;14;
07.04.20;18:59:02;Wykroki na jednej nodze;5;13;
08.04.20;17:33:23;Dotykanie pięt (leżąc);1;42;
08.04.20;17:34:41;Dotykanie pięt (leżąc);2;32;
