Data;Czas;Ćwiczenie;Seria;Waga;Powt.;Uwaga;
16.01.20;22:15:44;Wyciskanie francuskie linki wyciągu dolnego (stojąc);2;14;11;
16.01.20;22:17:23;Wyciskanie francuskie linki wyciągu dolnego (stojąc);3;14;10;
16.01.20;22:20:41;Uginanie przedramion ze sztangą podchwytem (stojąc);1;25;10;
16.01.20;22:22:26;Uginanie przedramion ze sztangą podchwytem (stojąc);2;25;10;
16.01.20;22:26:51;Uginanie przedramion ze sztangą podchwytem (stojąc);3;25;12;
17.01.20;21:02:36;Pompki, szeroki rozstaw rąk;1;76;10;
17.01.20;21:02:58;Pompki, szeroki rozstaw rąk;2;76;10;
17.01.20;21:03:44;Pompki, szeroki rozstaw rąk;3;76;12;
18.01.20;14:35:00;Wykroki ze sztangą;1;15;14;
18.01.20;14:36:27;Wykroki ze sztangą;2;15;14;
18.01.20;14:38:53;Wykroki ze sztangą;3;15;14;
18.01.20;14:43:09;Wykroki ze sztangą;4;15;14;
18.01.20;14:45:21;Wykroki ze sztangą;5;15;14;
18.01.20;14:47:17;Wykroki ze sztangą;6;15;14;
18.01.20;14:50:32;Wspięcia na palce na maszynie (stojąc);1;50;10;
18.01.20;14:51:27;Wspięcia na palce na maszynie (stojąc);2;50;12;
18.01.20;14:54:10;Wspięcia na palce na maszynie (stojąc);3;50;10;
18.01.20;14:55:22;Wspięcia na palce na maszynie (stojąc);4;50;10;
18.01.20;14:56:56;Wspięcia na palce na maszynie (stojąc);5;50;10;
18.01.20;15:00:11;Wypychanie ciężaru nogami na suwnicy na ławce dodatniej;1;100;5;
18.01.20;15:02:42;Wypychanie ciężaru nogami na suwnicy na ławce dodatniej;2;120;7;
18.01.20;15:04:16;Wypychanie ciężaru nogami na suwnicy na ławce dodatniej;3;120;10;
18.01.20;15:08:37;Wypychanie ciężaru nogami na suwnicy na ławce dodatniej;4;120;10;
18.01.20;15:10:49;Wypychanie ciężaru nogami na suwnicy na ławce dodatniej;5;120;5;
18.01.20;15:13:55;Uginanie nóg na maszynie (stojąc);1;20;10;
18.01.20;15:21:51;Uginanie nóg na maszynie (stojąc);2;20;5;
18.01.20;15:22:28;Uginanie nóg na maszynie (stojąc);3;20;5;
18.01.20;15:23:26;Uginanie nóg na maszynie (stojąc);4;20;6;
18.01.20;15:25:07;Uginanie nóg na maszynie (stojąc);5;20;6;
18.01.20;15:27:12;Prostowanie nóg na maszynie (siedzac);1;35;8;
18.01.20;15:29:30;Prostowanie nóg na maszynie (siedzac);2;35;8;
18.01.20;15:32:09;Prostowanie nóg na maszynie (siedzac);3;35;8;
18.01.20;15:34:12;Prostowanie nóg na maszynie (siedzac);4;35;8;
18.01.20;15:34:49;Uginanie nóg na maszynie (siedząc);1;35;8;
18.01.20;15:36:13;Uginanie nóg na maszynie (siedząc);2;35;8;
18.01.20;15:38:12;Uginanie nóg na maszynie (siedząc);3;35;8;
18.01.20;15:38:51;Uginanie nóg na maszynie (siedząc);4;35;8;
18.01.20;15:39:35;Uginanie nóg na maszynie (siedząc);5;35;8;
19.01.20;15:25:37;Podciąganie nachwytem (średni rozstaw rąk);1;76;8;
19.01.20;15:27:06;Podciąganie nachwytem (średni rozstaw rąk);2;76;5;
19.01.20;15:28:39;Podciąganie nachwytem (średni rozstaw rąk);3;76;5;
19.01.20;15:29:51;Podciąganie nachwytem (średni rozstaw rąk);4;76;3;
19.01.20;15:31:18;Podciąganie nachwytem (średni rozstaw rąk);5;76;3;
19.01.20;15:32:38;Podciąganie nachwytem (średni rozstaw rąk);6;76;3;
19.01.20;15:34:11;Wyciskanie sztangi sprzed głowy (stojac);1;20;10;
19.01.20;15:35:52;Wyciskanie sztangi sprzed głowy (stojac);2;30;10;
19.01.20;15:37:13;Wyciskanie sztangi sprzed głowy (stojac);3;32,5;7;
19.01.20;15:38:47;Wyciskanie sztangi sprzed głowy (stojac);4;32,5;7;
19.01.20;15:42:08;Wyciskanie sztangi sprzed głowy (stojac);5;32,5;7;
19.01.20;15:44:14;Wyciskanie sztangi sprzed głowy (stojac);6;32,5;7;
19.01.20;15:45:53;Wyciskanie sztangi sprzed głowy (stojac);7;32,5;6;
19.01.20;15:49:44;Wyciskanie sztangi na ławce dodatniej;1;20;10;
19.01.20;15:51:08;Wyciskanie sztangi na ławce dodatniej;2;40;5;
19.01.20;15:53:51;Wyciskanie sztangi na ławce dodatniej;3;60;2;
19.01.20;15:54:31;Wyciskanie sztangi na ławce dodatniej;4;50;6;
19.01.20;15:56:10;Wyciskanie sztangi na ławce dodatniej;5;50;6;
19.01.20;15:57:41;Wyciskanie sztangi na ławce dodatniej;6;50;6;
19.01.20;16:00:45;Wyciskanie sztangi na ławce dodatniej;7;50;6;
19.01.20;16:02:20;Wyciskanie sztangi na ławce dodatniej;8;50;6;
19.01.20;16:04:51;Wyciskanie francuskie linki wyciągu dolnego (stojąc);1;14;11;
19.01.20;16:05:40;Wyciskanie francuskie linki wyciągu dolnego (stojąc);2;14;11;
19.01.20;16:06:47;Wyciskanie francuskie linki wyciągu dolnego (stojąc);3;14;12;
19.01.20;16:09:40;Uginanie przedramion ze sztangą podchwytem (stojąc);1;25;10;
